subgroup,modeldate,dem_estimate,dem_hi,dem_lo,rep_estimate,rep_hi,rep_lo,timestamp
Voters,4/16/2018,46.12019,50.54147,41.6989,40.09739,44.8616,35.33318,12:31:15 16 Apr 2018
Adults,4/16/2018,47.87387,55.47464,40.27309,37.74917,44.70588,30.79247,12:31:12 16 Apr 2018
All polls,4/16/2018,46.1135,50.52243,41.70457,40.12083,44.88342,35.35824,12:31:10 16 Apr 2018
All polls,4/15/2018,46.39654,50.89919,41.89388,39.49826,44.18409,34.81244,11:03:09 15 Apr 2018
Adults,4/15/2018,45.29347,50.02128,40.56567,35.44475,40.1583,30.7312,11:03:10 15 Apr 2018
Voters,4/15/2018,46.40414,50.92008,41.8882,39.46613,44.15416,34.77811,11:03:13 15 Apr 2018
Adults,4/14/2018,45.29347,50.02128,40.56567,35.44475,40.1583,30.7312,18:00:16 14 Apr 2018
Voters,4/14/2018,46.51476,51.10896,41.92057,39.64735,44.43031,34.86439,18:00:19 14 Apr 2018
All polls,4/14/2018,46.52359,51.1034,41.94379,39.7188,44.49863,34.93896,18:00:15 14 Apr 2018
Voters,4/13/2018,46.51476,51.10896,41.92057,39.64735,44.43031,34.86439,16:33:14 13 Apr 2018
Adults,4/13/2018,45.29347,50.02128,40.56567,35.44475,40.1583,30.7312,16:33:11 13 Apr 2018
All polls,4/13/2018,46.52359,51.1034,41.94379,39.7188,44.49863,34.93896,16:33:09 13 Apr 2018
All polls,4/12/2018,46.23767,50.86269,41.61266,39.61833,44.44776,34.7889,18:00:15 12 Apr 2018
Adults,4/12/2018,44.27271,48.89227,39.65314,35.06788,39.92847,30.2073,18:00:16 12 Apr 2018
Voters,4/12/2018,46.21944,50.85905,41.57983,39.55324,44.38597,34.7205,18:00:19 12 Apr 2018
Adults,4/11/2018,44.27271,48.89227,39.65314,35.06788,39.92847,30.2073,15:30:16 11 Apr 2018
Voters,4/11/2018,46.21944,50.85905,41.57983,39.55324,44.38597,34.7205,15:30:19 11 Apr 2018
All polls,4/11/2018,46.23767,50.86269,41.61266,39.61833,44.44776,34.7889,15:30:14 11 Apr 2018
Voters,4/10/2018,47.17918,52.18818,42.17019,38.45538,43.16734,33.74343,18:00:20 10 Apr 2018
Adults,4/10/2018,43.90132,48.56882,39.23381,35.21174,40.16739,30.2561,18:00:17 10 Apr 2018
All polls,4/10/2018,47.17682,52.16518,42.18845,38.57652,43.27987,33.87318,18:00:15 10 Apr 2018
Voters,4/9/2018,47.17918,52.18818,42.17019,38.45538,43.16734,33.74343,18:00:17  9 Apr 2018
Adults,4/9/2018,43.90132,48.56882,39.23381,35.21174,40.16739,30.2561,18:00:14  9 Apr 2018
All polls,4/9/2018,47.17682,52.16518,42.18845,38.57652,43.27987,33.87318,18:00:13  9 Apr 2018
Adults,4/8/2018,43.90132,48.56882,39.23381,35.21174,40.16739,30.2561,18:00:21  8 Apr 2018
Voters,4/8/2018,47.17918,52.18818,42.17019,38.45538,43.16734,33.74343,18:00:27  8 Apr 2018
All polls,4/8/2018,47.17682,52.16518,42.18845,38.57652,43.27987,33.87318,18:00:18  8 Apr 2018
Voters,4/7/2018,47.17918,52.18818,42.17019,38.45538,43.16734,33.74343,18:00:18  7 Apr 2018
Adults,4/7/2018,43.90132,48.56882,39.23381,35.21174,40.16739,30.2561,18:00:15  7 Apr 2018
All polls,4/7/2018,47.17682,52.16518,42.18845,38.57652,43.27987,33.87318,18:00:14  7 Apr 2018
Adults,4/6/2018,43.90132,48.56882,39.23381,35.21174,40.16739,30.2561,15:48:12  6 Apr 2018
Voters,4/6/2018,47.17918,52.18818,42.17019,38.45538,43.16734,33.74343,15:48:14  6 Apr 2018
All polls,4/6/2018,47.17682,52.16518,42.18845,38.57652,43.27987,33.87318,15:48:10  6 Apr 2018
Voters,4/5/2018,47.05983,52.09584,42.02382,38.95096,43.50337,34.39854,18:00:18  5 Apr 2018
Adults,4/5/2018,43.99685,48.76875,39.22494,36.51341,41.31896,31.70786,18:00:15  5 Apr 2018
All polls,4/5/2018,47.06244,52.07725,42.04762,39.06174,43.60627,34.51722,18:00:13  5 Apr 2018
Adults,4/4/2018,43.99685,48.76875,39.22494,36.51341,41.31896,31.70786,13:38:11  4 Apr 2018
Voters,4/4/2018,47.05983,52.09584,42.02382,38.95096,43.50337,34.39854,13:38:14  4 Apr 2018
All polls,4/4/2018,47.06244,52.07725,42.04762,39.06174,43.60627,34.51722,13:38:10  4 Apr 2018
Adults,4/3/2018,43.99685,48.76875,39.22494,36.51341,41.31896,31.70786,17:31:11  3 Apr 2018
Voters,4/3/2018,46.98135,52.01908,41.94362,39.06481,43.64683,34.4828,17:31:14  3 Apr 2018
All polls,4/3/2018,46.98731,52.00236,41.97227,39.17117,43.74352,34.59883,17:31:10  3 Apr 2018
Voters,4/2/2018,46.68023,51.75742,41.60304,39.43522,43.91092,34.95953,19:50:17  2 Apr 2018
Adults,4/2/2018,43.51853,48.515,38.52206,37.66973,42.9274,32.41206,19:50:15  2 Apr 2018
All polls,4/2/2018,46.69486,51.7452,41.64451,39.52832,43.99332,35.06332,19:50:13  2 Apr 2018
Adults,4/1/2018,43.51853,48.515,38.52206,37.66973,42.9274,32.41206,18:00:14  1 Apr 2018
Voters,4/1/2018,46.63044,51.77874,41.48214,40.1552,44.54712,35.76328,18:00:17  1 Apr 2018
